Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Gymbal\Project Outputs for Gymbal\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       01/08/26
Time:       16:14
Revision:   028544901cf6883f22e893cfc0bedbfada356b0d
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R36","Resistors,0402,68","TopLayer","RESC0402(1005)_L","1011.000","283.000","90","Resistor, Bootstrap"
"D8","WL-SMCW_0603","TopLayer","WL-SMCW_0603","1084.118","276.000","0","0603, Red Typ.(@20mA): 625nm, 250mcd, 2.0V, 140Â° AlInGaP"
"D7","WL-SMCW_0603","TopLayer","WL-SMCW_0603","1084.000","208.000","0","0603, Blue Typ.(@20mA): 470nm, 145mcd, 3.2V, 140Â° InGaN"
"R35","Resistors,0402,10","TopLayer","RESC0402(1005)_L","1010.000","201.000","270","Resistor, Bootstrap"
"J8","217179-0003","TopLayer","217179-0003-Footprint-1","800.212","283.941","0","Conn USB Type C RCP 16 POS 0.5mm Solder RA SMD 16 Terminal 1 Port USB T/R"
"C12","Capacitor 1 uF +/- 10% 16 V 0603","TopLayer","CAPC1608X94X35NL15T15","804.000","786.472","270","Chip Capacitor, 1 uF, +/- 10%, 16 V, 0603 (1608 Metric)"
"R19","RC0402JR-071RL","TopLayer","RESC1005X40X25LL05T10","757.000","828.000","270",""
"FB1","BLM15PD121SN1D","TopLayer","FP-BLM15-0_05-IPC_B","756.809","762.144","270","Chip Ferrite Bead, 0402, 120O @ 100MHz, 0.09O, 25%, 1.3A"
"J11","LGA-814-22-006-30-000101","BottomLayer","Alignment-8142200630000101","1260.000","1205.000","270","MILL MAX - 814-22-006-30-000101 - CONNECTOR, HEADER, 2.54MM, 6POS, SMT"
"D6","MBR0520LT1G","TopLayer","ONSC-SOD-123-2-425-04_V","571.000","813.000","180","Schottky Power Rectifier, 20 V, 5.5 A, -65 to 125 degC, 2-Pin SMD, RoHS, Tape and Reel"
"Q1","AO3407A","TopLayer","SOT95P280X125-3N","185.630","372.992","270","P-Channel 30 V 4.3A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"U3","TPS54202HDDCR","TopLayer","FP-DDC0006A-IPC_C","339.016","742.992","270","4.5V to 28V Input, 2A Output, Synchronous Step-Down Voltage Converter 6-SOT-23-THIN -40 to 125"
"Q2","AO3407A","TopLayer","SOT95P280X125-3N","186.614","612.992","90","P-Channel 30 V 4.3A (Ta) 1.4W (Ta) Surface Mount SOT-23-3"
"D3","MMSZ5240BT1G","TopLayer","ONSC-SOD-123-2-425-04_V","201.582","493.161","0","Zener Voltage Regulator, 500 mW, 2-Pin SOD-123, Pb-Free, Tape and Reel"
"TP3","S2761-46R","TopLayer","HARWIN_S2761-46R","1217.000","538.000","180",""
"TP4","S2761-46R","TopLayer","HARWIN_S2761-46R","763.845","675.827","0",""
"C29","Capacitor 100nF +/-20% 25V 0402","TopLayer","CAPC0402(1005)60_L","362.000","833.000","0","Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
"J9","JUMPER","TopLayer","JUMPER","67.550","444.418","0","JUMPER"
"R18","HCJ0805ZT0R00","TopLayer","RESC0805(2012)_L","540.197","741.000","180","HCJ Series 0805 Jumper Surface Mount Chip Resistor"
"R34","HCJ0805ZT0R00","TopLayer","RESC0805(2012)_L","112.000","757.197","270","HCJ Series 0805 Jumper Surface Mount Chip Resistor"
"C42","Capacitors,0805,2.2u","TopLayer","CAPC0805(2012)145_L","967.000","1037.236","270","Capacitor, Charge Pump"
"C54","GRM32ER61C476KE15L","TopLayer","CAPC3225X270N","1865.000","761.370","90","SMD Capacitor X5R(EIA) with Capacitance: 47uF Tol. 10%. Rated Voltage: 16Vdc"
"C53","GRM32ER61C476KE15L","TopLayer","CAPC3225X270N","1865.000","358.370","270","SMD Capacitor X5R(EIA) with Capacitance: 47uF Tol. 10%. Rated Voltage: 16Vdc"
"L1","SRR5018-3R9Y","TopLayer","SRR5018-3R9Y-Footprint-1","390.000","984.000","0","Inductor Power Shielded Wirewound 3.9uH 30% 100KHz 8Q-Factor Ferrite 2A 0.055Ohm DCR T/R"
"C52","Capacitor 10 uF +/- 10% 16 V 0805","TopLayer","CAPC2013X135X45NL10T25","1101.654","1697.000","90","Chip Capacitor, 10 uF, +/- 10%, 16 V, 0805 (2012 Metric)"
"C51","Capacitor 100nF +/-20% 25V 0402","TopLayer","CAPC0402(1005)60_L","1045.654","1727.716","90","Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
"C50","Capacitor 10 uF +/- 10% 16 V 0805","TopLayer","CAPC2013X135X45NL10T25","560.189","1202.000","0","Chip Capacitor, 10 uF, +/- 10%, 16 V, 0805 (2012 Metric)"
"C49","Capacitor 1 uF +/- 10% 25 V 0805","TopLayer","CAPC2013X145X50ML20T25","535.000","239.000","90","Chip Capacitor, 1 uF, +/-10%, 25 V, 0805 (2012 Metric)"
"C48","Capacitor 1µF +/-20% 10V 0402","TopLayer","CAPC0402(1005)60_L","442.000","233.000","180","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm"
"C47","Capacitor 1µF +/-20% 10V 0402","TopLayer","CAPC0402(1005)60_L","460.415","288.286","90","Chip Capacitor, 1µF +/-20%, 10V, 0402, Thickness 0.6 mm"
"C46","Capacitor 1 uF +/- 10% 25 V 0805","TopLayer","CAPC2013X145X50ML20T25","390.433","158.000","180","Chip Capacitor, 1 uF, +/-10%, 25 V, 0805 (2012 Metric)"
"C45","Capacitor 100nF +/-20% 25V 0402","TopLayer","CAPC0402(1005)60_L","289.913","614.000","0","Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
"C44","Capacitors,0805,4.7u,50V","TopLayer","CAPC0805(2012)145_L","156.803","254.000","0","Capacitor"
"C43","Capacitors,0805,2.2u","TopLayer","CAPC0805(2012)145_L","1104.612","566.410","90","Capacitor, Charge Pump"
"C41","Capacitor 100nF +/-20% 25V 0402","TopLayer","CAPC0402(1005)60_L","1175.716","608.000","0","Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
"C40","Capacitor 100nF +/-20% 25V 0402","TopLayer","CAPC0402(1005)60_L","879.000","622.000","180","Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
"C39","Capacitor 100nF +/-20% 25V 0402","TopLayer","CAPC0402(1005)60_L","1239.000","947.000","90","Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
"C38","Capacitor 100nF +/-20% 25V 0402","TopLayer","CAPC0402(1005)60_L","897.000","996.000","180","Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
"C37","Capacitor 100nF +/-20% 25V 0402","TopLayer","CAPC0402(1005)60_L","844.000","943.284","90","Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
"C36","Capacitors,0805,4.7u","TopLayer","CAPC0805(2012)145_L","855.803","569.000","0","Capacitor, Decoupling"
"C35","Capacitor 100nF +/-20% 25V 0402","TopLayer","CAPC0402(1005)60_L","851.000","762.000","90","Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
"C33","Capacitor 100nF +/-20% 25V 0402","TopLayer","CAPC0402(1005)60_L","579.938","1258.000","0","Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
"C32","GRM32ER61C476KE15L","TopLayer","CAPC3225X270N","587.000","942.000","90","SMD Capacitor X5R(EIA) with Capacitance: 47uF Tol. 10%. Rated Voltage: 16Vdc"
"C31","Capacitors,0805,4.7u","TopLayer","CAPC0805(2012)145_L","136.804","850.000","0","Capacitor, Decoupling"
"C30","Capacitors,ceramic,0402,5%,56pF","TopLayer","CAPC0402(1005)60_L","464.000","812.000","90","Capacitor, Filter"
"C28","Capacitor 10 uF +/- 10% 16 V 0805","TopLayer","CAPC2013X135X45NL10T25","989.119","1202.000","180","Chip Capacitor, 10 uF, +/- 10%, 16 V, 0805 (2012 Metric)"
"C27","Capacitor 100nF +/-20% 25V 0402","TopLayer","CAPC0402(1005)60_L","978.370","1258.000","180","Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm"
"C18","GRM32ER61C476KE15L","TopLayer","CAPC3225X270N","1865.000","1430.000","90","SMD Capacitor X5R(EIA) with Capacitance: 47uF Tol. 10%. Rated Voltage: 16Vdc"
"C5","GRM32ER61C476KE15L","TopLayer","CAPC3225X270N","1865.000","1027.000","270","SMD Capacitor X5R(EIA) with Capacitance: 47uF Tol. 10%. Rated Voltage: 16Vdc"
"R30","Resistors,0402,10k","TopLayer","RESC0402(1005)_L","1483.000","816.000","90","Resistor, Pullup"
"R29","Resistors,0402,10k","TopLayer","RESC0402(1005)_L","563.630","464.000","180","Resistor, Bootstrap"
"R28","Resistors,0402,100k","TopLayer","RESC0402(1005)_L","350.000","541.000","270","Resistor, Bootstrap"
"R27","Resistors,0402,100k","TopLayer","RESC0402(1005)_L","387.000","541.000","270","Resistor, Bootstrap"
"R26","Resistors,0402,10k","TopLayer","RESC0402(1005)_L","309.630","495.000","90","Resistor"
"R25","Resistors,0402,1k","TopLayer","RESC0402(1005)_L","423.630","540.716","90","Resistor"
"R24","Resistors,0603,1k","TopLayer","RESC0603(1608)_L","298.559","362.000","180","Resistor"
"R23","Resistors,0402,100","TopLayer","RESC0402(1005)_L","309.630","562.284","90","Resistor"
"R22","Resistors,0603,500","TopLayer","RESC0603(1608)_L","298.000","313.000","180","Resistor"
"R21","Resistors,0402,24k","TopLayer","RESC0402(1005)_L","274.000","562.000","90","Resistor"
"R20","Resistors,0402,10k","TopLayer","RESC0402(1005)_L","1019.000","1037.000","270","Resistor, Bootstrap"
"R17","Resistors,0402,22.1k","TopLayer","RESC0402(1005)_L","445.000","760.000","180","Resistor"
"R16","Resistors,0402,10k","TopLayer","RESC0402(1005)_L","506.000","1582.000","270","Resistor, Pulldown"
"R15","Resistors,0402,10k","TopLayer","RESC0402(1005)_L","1045.654","1371.000","90","Resistor, Pulldown"
"R13","Resistors,0402,510k","TopLayer","RESC0402(1005)_L","253.630","735.000","270","Resistor, Bootstrap"
"R12","Resistors,0402,100k","TopLayer","RESC0402(1005)_L","1713.000","403.370","270","Resistor, Bootstrap"
"R11","Resistors,0402,100k","TopLayer","RESC0402(1005)_L","1577.000","716.370","90","Resistor, Bootstrap"
"R10","Resistors,0402,100k","TopLayer","RESC0402(1005)_L","1469.000","615.505","180","Resistor, Bootstrap"
"R7","Resistors,0402,100k","TopLayer","RESC0402(1005)_L","1469.000","651.505","0","Resistor, Bootstrap"
"R6","Resistors,0402,100k","TopLayer","RESC0402(1005)_L","1713.000","1070.000","270","Resistor, Bootstrap"
"R5","Resistors,0402,100k","TopLayer","RESC0402(1005)_L","1577.000","1383.000","90","Resistor, Bootstrap"
"R4","Resistors,0402,100k","TopLayer","RESC0402(1005)_L","1469.000","1318.135","180","Resistor, Bootstrap"
"R3","Resistors,0402,100k","TopLayer","RESC0402(1005)_L","1469.000","1282.135","180","Resistor, Bootstrap"
"R2","Resistors,0402,1%,100m","TopLayer","RESC0402(1005)_L","1941.000","1152.000","270","Resistor"
"R1","Resistors,0402,1%,100m","TopLayer","RESC0402(1005)_L","1941.000","1303.000","90","Resistor"
"R33","Resistors,0402,4.7k","TopLayer","RESC0402(1005)_L","471.839","540.122","90","Resistor, Pullup"
"R32","Resistors,0402,4.7k","TopLayer","RESC0402(1005)_L","547.000","517.000","90","Resistor, Pullup"
"R31","Resistors,0402,4.7k","TopLayer","RESC0402(1005)_L","408.000","289.000","270","Resistor, Pullup"
"R14","Resistors,0402,100k","TopLayer","RESC0402(1005)_L","428.000","811.000","90","Resistor"
"R9","Resistors,0402,1%,100m","TopLayer","RESC0402(1005)_L","1941.000","483.370","270","Resistor"
"R8","Resistors,0402,1%,100m","TopLayer","RESC0402(1005)_L","1941.000","634.370","90","Resistor"
"C20","Capacitors,2.2u,6.3V","TopLayer","CAPC0603(1608)100_L","1530.000","704.370","90","Capacitor, Decoupling"
"C14","C0402C223K5REC7411","TopLayer","CAPC1005X55N","1688.000","704.000","180","0.022 ÂµF Â±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C7","Capacitors,2.2u,6.3V","TopLayer","CAPC0603(1608)100_L","1530.000","1371.000","90","Capacitor, Decoupling"
"C1","C0402C223K5REC7411","TopLayer","CAPC1005X55N","1688.000","1371.000","180","0.022 ÂµF Â±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)"
"C24","GRM1885C2A471JA01D","TopLayer","CAPC1608X90N","1984.000","500.370","90","SMD Capacitor C0G(EIA) with Capacitance: 470pF Tol. 5%. Rated Voltage: 100Vdc"
"C23","GRM1885C2A471JA01D","TopLayer","CAPC1608X90N","1984.000","616.370","270","SMD Capacitor C0G(EIA) with Capacitance: 470pF Tol. 5%. Rated Voltage: 100Vdc"
"C22","GRM1885C2A471JA01D","TopLayer","CAPC1608X90N","1984.000","384.370","270","SMD Capacitor C0G(EIA) with Capacitance: 470pF Tol. 5%. Rated Voltage: 100Vdc"
"C21","GRM1885C2A471JA01D","TopLayer","CAPC1608X90N","1984.000","732.370","90","SMD Capacitor C0G(EIA) with Capacitance: 470pF Tol. 5%. Rated Voltage: 100Vdc"
"C19","GCM188L81H104KA57D","TopLayer","CAPC1608X90N","1623.000","740.370","90","SMD capacitor X8L(MURATA) with capacitance 0.10uF Tol.10%. Rated voltage 50Vdc 150C"
"C17","GCM188L81H104KA57D","TopLayer","CAPC1608X90N","1859.685","640.370","0","SMD capacitor X8L(MURATA) with capacitance 0.10uF Tol.10%. Rated voltage 50Vdc 150C"
"C16","GCM188L81H104KA57D","TopLayer","CAPC1608X90N","1859.685","478.370","0","SMD capacitor X8L(MURATA) with capacitance 0.10uF Tol.10%. Rated voltage 50Vdc 150C"
"C15","GCM188L81H104KA57D","TopLayer","CAPC1608X90N","1576.000","409.370","180","SMD capacitor X8L(MURATA) with capacitance 0.10uF Tol.10%. Rated voltage 50Vdc 150C"
"C11","GRM1885C2A471JA01D","TopLayer","CAPC1608X90N","1984.000","1169.000","90","SMD Capacitor C0G(EIA) with Capacitance: 470pF Tol. 5%. Rated Voltage: 100Vdc"
"C10","GRM1885C2A471JA01D","TopLayer","CAPC1608X90N","1984.000","1285.000","270","SMD Capacitor C0G(EIA) with Capacitance: 470pF Tol. 5%. Rated Voltage: 100Vdc"
"C9","GRM1885C2A471JA01D","TopLayer","CAPC1608X90N","1984.000","1053.000","270","SMD Capacitor C0G(EIA) with Capacitance: 470pF Tol. 5%. Rated Voltage: 100Vdc"
"C8","GRM1885C2A471JA01D","TopLayer","CAPC1608X90N","1984.000","1401.000","90","SMD Capacitor C0G(EIA) with Capacitance: 470pF Tol. 5%. Rated Voltage: 100Vdc"
"C6","GCM188L81H104KA57D","TopLayer","CAPC1608X90N","1623.000","1407.000","90","SMD capacitor X8L(MURATA) with capacitance 0.10uF Tol.10%. Rated voltage 50Vdc 150C"
"C4","GCM188L81H104KA57D","TopLayer","CAPC1608X90N","1859.685","1147.000","0","SMD capacitor X8L(MURATA) with capacitance 0.10uF Tol.10%. Rated voltage 50Vdc 150C"
"C3","GCM188L81H104KA57D","TopLayer","CAPC1608X90N","1859.685","1309.000","0","SMD capacitor X8L(MURATA) with capacitance 0.10uF Tol.10%. Rated voltage 50Vdc 150C"
"C2","GCM188L81H104KA57D","TopLayer","CAPC1608X90N","1576.000","1076.000","180","SMD capacitor X8L(MURATA) with capacitance 0.10uF Tol.10%. Rated voltage 50Vdc 150C"
"U5","STUSB4500QTR","TopLayer","FP-QFN-24-EP_4x4-MFG","438.433","415.472","180","Super Speed USB Controller USB 1.2/USB 2.0 5V/9V/12V/15V/18V T/R 24-Pin QFN EP"
"U4","ST67W611M1A6BTR","TopLayer","MODULE_ST67W611M1A6BTR","775.000","1525.941","0","802.15.4, Bluetooth, WiFi 802.11b/g/n/ax, Bluetooth v5.4, Thread, ZigbeeÂ® Transceiver Module 2.4GHz PCB Trace Surface Mount"
"U2","TMC2209-LA","TopLayer","QFN50P500X500X90-29N","1678.000","560.370","270","Bipolar Motor Driver Power MOSFET Step/Direction, UART 28-QFN (5x5)"
"U1","TMC2209-LA","TopLayer","QFN50P500X500X90-29N","1678.000","1227.000","270","Bipolar Motor Driver Power MOSFET Step/Direction, UART 28-QFN (5x5)"
"TP2","S2761-46R","TopLayer","HARWIN_S2761-46R","84.000","649.000","90",""
"TP1","S2761-46R","TopLayer","HARWIN_S2761-46R","500.000","675.000","180",""
"J10","JUMPER","TopLayer","JUMPER","67.550","342.481","180","JUMPER"
"J7","JUMPER","TopLayer","JUMPER","773.031","1197.000","90","JUMPER"
"J6","JUMPER","TopLayer","JUMPER","1468.968","687.370","270","JUMPER"
"J5","JUMPER","TopLayer","JUMPER","1468.968","578.820","270","JUMPER"
"J4","B4B-XH-AM (LF)(SN)","TopLayer","FP-B4B-XH-AM_LF_SN-MFG","2111.614","589.882","90","CONN HEADER VERT 4POS 2.5MM / Connector Header Through Hole 4 position 0.098" (2.50mm)"
"J3","JUMPER","TopLayer","JUMPER","1468.968","1245.450","270","JUMPER"
"J2","JUMPER","TopLayer","JUMPER","1468.968","1354.000","270","JUMPER"
"J1","B4B-XH-AM (LF)(SN)","TopLayer","FP-B4B-XH-AM_LF_SN-MFG","2111.630","1258.504","90","CONN HEADER VERT 4POS 2.5MM / Connector Header Through Hole 4 position 0.098" (2.50mm)"
"D5","ESDA25W","TopLayer","FP-SOT323-3L-IPC_C","1088.468","448.591","0","25V 400W 25V 24V SOT-323-3L ESD and Surge Protection (TVS/ESD) ROHS"
"D4","B5819W","TopLayer","MCC-SOD123_V","302.000","250.000","0","Schottky Barrier Rectifier, 40 V, 1 A, -65 to 125 degC, 2-Pin SOD123, RoHS, Tape and Reel"
"D2","ESDA25P35-1U1M","TopLayer","FP-QFN_1610-MFG","189.000","724.000","0","TVS DIODE 22V 41V 1610"
"D1","ESDA25P35-1U1M","TopLayer","FP-QFN_1610-MFG","163.000","192.000","180","TVS DIODE 22V 41V 1610"
"B1","STM32H562RGV6","TopLayer","QFN40P800X800X100-69N-D","1045.000","803.000","0","MCU 32-bit ARM Cortex M33 RISC 1MB Flash 1.8V/2.5V/3.3V 68-Pin VFQFPN EP Tray"
